# id> internal primary key for ope_calls structure. Each represents one call
# phone_number> hashed incoming phone number
# operator> person who picked the call
# line> type of incoming line (i.e. O2 mobile, T-mobile prepaid etc.)
# answered_at> time of incoming call start (when operator starts to talk)
# droped_at> time of call end
# ended_at> time when operator finished the call (after call tasks are done)
# created_ad, updated_at> timestamp of database insert
# line_id> id of service that customer called at

"id","phone_number","operator","line","answered_at","droped_at","ended_at","created_at","updated_at","line_id"
"231","2ec76232e7cdea029a69489afbabedc5","80097","line 2","2014-03-14 18:43:04","NULL","NULL","2014-03-14 18:43:01","2014-03-14 18:43:01","NULL"
"233","bcb557910af206b2871e4e7363cd1260","80447","line 1","2014-03-14 18:43:04","NULL","NULL","2014-03-14 18:43:02","2014-03-14 18:43:02","NULL"
"235","7d62b0334d6074ae1d17800c8d763cae","80134","line 2","2014-03-14 18:43:15","NULL","NULL","2014-03-14 18:43:13","2014-03-14 18:43:13","NULL"
"237","b42822807bd89fa0eb7b2bf9721d3fed","80104","line 6","2014-03-14 18:43:17","NULL","NULL","2014-03-14 18:43:15","2014-03-14 18:43:15","NULL"
"239","fb78128f606db71606b7278250a86fdc","80150","line 2","2014-03-14 18:43:36","NULL","NULL","2014-03-14 18:43:34","2014-03-14 18:43:34","NULL"
"241","243ef168dde0a098f0d49a62d2f8a0f5","80099","line 6","2014-03-14 18:43:37","NULL","NULL","2014-03-14 18:43:35","2014-03-14 18:43:35","NULL"
"243","34f6ce1328ac5de62971043514f7a386","80277","line 2","2014-03-14 18:43:47","NULL","NULL","2014-03-14 18:43:45","2014-03-14 18:43:45","NULL"
"245","a505aed59395746ef6746aff66c7d863","80332","line 2","2014-03-14 18:43:48","NULL","NULL","2014-03-14 18:43:46","2014-03-14 18:43:46","NULL"
"247","d2efa425f9ce6132a18ce94d3b3ff3dc","80236","line 7","2014-03-14 18:44:00","NULL","NULL","2014-03-14 18:43:58","2014-03-14 18:43:58","NULL"
"249","7b94041ec88a2a13c552805fe2266c61","80117","line 2","2014-03-14 18:44:00","NULL","NULL","2014-03-14 18:43:58","2014-03-14 18:43:58","NULL"
"251","12b7469989cf1cee5419c5fb5a3c081c","80506","line 2","2014-03-14 18:44:04","NULL","NULL","2014-03-14 18:44:02","2014-03-14 18:44:02","NULL"
"253","6356a9a109781c8737b4fcb31c12abd2","80447","line 1","2014-03-14 18:44:17","NULL","NULL","2014-03-14 18:44:15","2014-03-14 18:44:15","NULL"
"255","3061e3a713ce1714beefcd69532c6541","80097","line 2","2014-03-14 18:44:28","NULL","NULL","2014-03-14 18:44:26","2014-03-14 18:44:26","NULL"
"257","1aa92135ba8dce1e54648f06943dbcdf","80240","line 5","2014-03-14 18:44:32","NULL","NULL","2014-03-14 18:44:29","2014-03-14 18:44:29","NULL"
"259","21e8ccc24ce4dcbc2bca69a07969e62b","80277","line 1","2014-03-14 18:44:34","NULL","NULL","2014-03-14 18:44:32","2014-03-14 18:44:32","NULL"
"261","8aacde0fe9388d84903fec974cfecb9b","80134","line 3","2014-03-14 18:44:35","NULL","NULL","2014-03-14 18:44:32","2014-03-14 18:44:32","NULL"
"263","2289ce89a6672e41fc517c424e12a426","80447","line 6","2014-03-14 18:44:35","NULL","NULL","2014-03-14 18:44:33","2014-03-14 18:44:33","NULL"
